cgpa,iq,placement
5.49,90.1,0
7.84,112.8,0
8.69,88.1,0
6.35,98.3,0
6.52,107.6,1
7.52,113,0
8.62,82,1
6.48,95,0
5.67,92.9,0
7.63,90.2,0
7.8,126.5,1
7.01,106.1,1
6.44,81.1,0
7.99,113.8,0
7.53,131.8,1
6.23,115.5,0
7.05,77.2,0
5.65,92.7,1
7.69,119,1
6.74,89.4,1
6.56,106.7,1
6.97,111.6,0
7.04,86.1,0
7.89,99.1,1
7.59,60,0
6.84,84.6,0
7.76,96.2,1
7.4,81.3,0
6.57,124.5,1
6.88,78.5,0
6.85,93.4,0
7.51,102,0
6.63,121.6,0
6.61,78.5,1
8.97,117.4,1
7.94,100.2,0
6.24,85.3,1
7.57,106.9,1
7.12,103,1
7.39,91,0
7.14,101,1
8.19,94.2,1
7.35,101.7,0
6.94,109.9,0
8.04,123.8,1
7.23,81.4,0
7.12,132,1
7.31,70.7,0
6.91,97.7,1
7.01,108.8,0
6.41,104.2,0
6.25,90.7,0
6,96.9,0
5.61,92.6,0
6.12,91.2,0
6.83,112.7,1
7.1,105.4,1
6.73,89.6,0
4.64,113.5,0
8.57,104.6,1
8.09,112.2,1
7.45,109.4,1
8.91,87.6,1
6.02,91.6,0
8.89,111.2,1
6.03,109.2,1
7.24,99.7,0
5.73,101.8,1
7.01,119.2,1
7.39,91.1,1
6.85,108.2,1
7.71,97,1
7.1,96.7,1
6.48,116.5,0
6.43,112.4,1
7.81,112.2,1
6.35,119.6,0
7.92,100.3,0
8.22,110.2,1
5.33,95.3,1
8.13,104.9,0
9.06,98,1
7.25,101.5,1
7.6,108.9,1
8.04,87.7,0
6.72,131.4,0
7.18,84.9,0
5.69,81.8,0
7.14,117.4,1
7.5,111.9,1
7.52,109.4,1
8.07,109.4,0
6.23,99.8,0
6.47,86.5,0
8.9,101.1,1
6.85,89.8,0
7.2,114.6,1
6.93,97.8,1
6.18,87.6,0
8.62,95.2,0
6.47,106.2,1
5.87,91.5,0
6.55,87.7,0
5,103.7,1
6.35,103.7,1
6.03,92.4,0
7.62,92.9,1
6.33,103.5,1
7.89,78.3,0
8.4,78.9,1
7.78,89.2,0
6.78,96.8,1
7.14,104.7,1
5.48,122.1,1
6.87,112.9,1
6.14,97.6,1
7.69,99.7,1
9.57,85,0
7.5,99.7,1
5.01,95.7,1
6.64,104.8,0
7.12,87.6,1
7.09,107.8,0
6.27,123,1
7.25,98.4,1
5.76,106,0
6.06,110.4,1
7.65,94,0
5.98,103.4,1
7.54,100.2,1
5.63,101.5,0
8.76,88.4,1
6.23,100.4,0
6.78,107.5,1
7.33,121.8,1
6.43,114.4,0
7.14,132.3,1
7.58,88.5,1
7.96,113.1,1
7.79,102.8,1
6.83,132.8,1
6.85,87.9,0
9.35,87.4,1
7.95,91,1
6.08,68.1,1
7.1,92.1,1
6.66,88.6,1
6.86,102.3,1
5.77,105.1,1
6.59,128.1,1
8.81,114.3,1
7.58,91.3,0
4.51,86.5,0
8.22,107.4,0
8.09,80.2,1
6.64,127.5,1
7.72,117.7,1
6.14,93,0
6.53,74.3,0
8.5,120.3,1
6.73,98.3,1
5.13,118.6,0
6.94,76.1,0
6.92,91,0
8.2,100.1,1
7.01,100.7,1
6.58,93.2,0
8.05,109.3,1
7.12,84,1
6.25,97.9,0
8.15,101.8,1
7.19,107.7,1
7,110.7,1
7.18,83.1,0
5.93,77,0
6.47,119.2,0
7,105,1
6.81,88.8,1
8.27,123.3,1
7.22,101.7,1
7.85,117.7,0
7.01,101,0
8.06,130.9,1
7.4,126.3,1
7.01,96.3,1
6.99,114.6,0
6.05,109.7,1
7.51,120.5,1
6.96,85.5,0
6.5,110.3,0
8.11,115.9,1
5.75,73.6,0
6.58,82.3,0
8.03,69.4,1
7.32,96,0
6.95,110.8,1
7.25,122.5,1
7.18,101.1,1
5.48,124.4,1
6.65,79.3,0
8.62,74.4,1
6.34,99.2,0
6.68,105.8,1
6.46,99.5,1
6.91,69,0
6.42,98.7,0
7.49,80.4,0
7.2,110,1
7.77,105.5,0
5.95,85.9,0
6.66,92.3,0
6.77,84.1,1
7.46,99.1,1
6.21,114.3,0
7.92,85.2,1
8.19,107.6,1
6.01,92,0
6.51,88.1,0
6.47,98.4,1
9.63,84.5,1
6.57,91.7,0
8.68,82,1
5.73,129.5,0
6.01,100.5,0
6.31,89.5,0
6.15,103.2,1
6.73,98.3,0
6.29,96.7,0
6.18,109.2,0
8.16,111.4,1
8.22,92,1
7.95,91.4,1
7.52,95.9,1
7.09,65.5,0
6.5,77.3,0
6.05,120.5,1
7.36,124.7,1
5.83,96.3,0
6.01,108.6,0
8.15,104.7,1
8.9,145,1
7.39,116.8,0
8.11,98.1,1
6.75,85.7,0
5.66,75.9,0
7.61,103.1,1
7.57,88.7,1
7.07,78.7,0
6.76,90.3,0
7.96,83.8,0
6.01,125.3,1
6.23,113.2,0
5.99,99.9,0
7.08,122.2,1
5.91,101.2,0
6.32,87.1,1
6.29,122.8,1
6.74,108.1,1
5.51,84.4,0
7.09,97.1,0
8.25,86.9,1
7.14,79.3,0
8.54,113.9,1
8.33,128.6,1
7.78,79,1
7.07,108.4,1
7.02,90.2,0
7.76,92.7,0
6.61,91.1,1
5.12,87,1
7.49,100.7,1
5.87,87.5,0
6.04,104.1,1
7,99.2,1
6.9,96.4,0
5.59,86.4,0
7.17,91.3,1
7.97,111.3,1
5.87,107.5,1
8.27,85.3,1
5.44,101.5,0
9.12,111.3,0
6.59,75,0
7.15,108.2,1
5.11,90.1,0
6.94,108.6,1
7.23,88.6,1
6.91,72.9,0
6.44,75.6,0
6.05,100.7,0
8.13,103.9,1
7.03,86.4,0
8.54,109.6,1
6.47,75.1,0
6.57,99,1
7.82,81.8,1
5.38,90.2,0
5.79,100.7,0
8.1,87.1,1
5.83,94.2,0
5.18,115.1,1
8.87,91.3,1
5.61,112.5,0
7.18,83.1,1
7.07,107.9,1
4.19,121.6,1
6.73,62.9,0
7.45,88,1
7.35,108.7,1
7.9,97,1
6.61,105.6,1
7.71,90.9,1
6.31,101.3,1
5.59,97.7,0
5.7,117.5,1
5.54,103.8,0
8.01,105.1,0
5.49,93.8,0
7.27,92.7,0
6.73,93.5,0
6.9,105.9,0
8.36,93.7,1
6.56,104.3,1
7.61,131.1,1
7.04,113.1,1
6.85,95.1,1
9.3,118,1
5.56,93.9,1
8.29,69.4,0
7.66,84.9,1
6.52,71.9,0
8.63,94.7,1
5.15,100.3,0
6.48,125.1,1
5.79,104.9,0
7.41,96.7,1
5.89,112.4,0
7.43,66.8,1
6.81,103.5,1
6.52,111.6,0
7.39,77.8,1
6.73,117.2,1
5.91,105.1,1
9.8,93.8,1
6.51,109.5,1
4.78,134.1,1
6.16,102.7,1
5.73,103.7,1
7.83,93.1,1
7.32,87.3,1
7.4,112.5,1
6.63,87.2,1
6.72,101.1,0
6.63,92.8,0
6.92,107.2,0
7.84,105,1
7.34,115.6,1
7.5,92.3,0
7.5,96,1
7.88,85.3,1
7.29,93.3,0
7.36,105.7,1
8.19,111.4,1
6.33,86.2,1
6.14,113,1
5.81,120.3,1
7.18,106.2,1
5.15,128.2,0
7.46,88.4,0
6.89,81.3,0
8.13,73.3,1
6.33,122.4,1
6.8,109.8,0
8.12,99.2,1
8.38,104.2,1
6.32,83.1,1
7.18,136.7,1
7.29,101.9,1
7.37,101.6,1
6.74,110.9,0
8.28,107.2,1
5.11,103.4,0
6.58,88.1,0
7.45,107.1,1
7.46,128.2,1
8.35,120.2,0
8.2,123.9,1
6.71,92.3,0
8.3,85.2,0
6.29,98.1,1
7.93,100.8,1
8.81,116.4,1
8.21,74.6,1
7.11,122.9,1
6.67,97.6,1
5.47,93.6,1
7.31,84.8,1
5.88,75.2,0
6.21,112.3,1
5.81,101.1,0
6.54,80.7,0
6.97,80.6,0
7.27,95,1
6.4,125,1
8.07,96.1,1
6.79,77.5,0
6.21,96.3,1
7.23,95.9,0
8.96,60,0
7.34,99.2,1
6.64,96.5,0
5.47,110.4,0
6.78,127.7,1
7.23,116.9,1
6.61,96,0
5.33,83.4,0
6.15,138.6,1
8.45,100.9,1
8.43,100.2,1
6.11,99.6,1
7.67,103,1
5.82,97.8,0
8.4,91.4,1
7.25,91.8,1
7.95,99.5,1
5.28,91.8,0
7.68,89.3,1
6.99,101.6,1
7.85,96.2,1
7.91,122.6,1
7.07,60.2,0
6.4,116.4,1
7.78,118.7,1
6.94,68.9,0
6.13,94.9,0
6.08,94.4,0
5.52,78.9,0
6.49,88.3,1
8.1,83.3,1
7.18,126.3,1
6.47,114,1
7.8,119.1,1
6.17,110.8,0
7.1,83.1,1
6.82,92.1,1
7.78,107.3,1
5.42,81.7,0
6.15,110.7,1
5.36,96.4,0
6.74,94.4,0
8.21,110.7,1
6.49,106.7,1
6.49,94.6,0
7.87,117.4,1
8.07,83.8,1
6.91,109.2,0
7.68,108.9,1
5.92,95.4,0
8.38,104.9,1
9.15,81.2,1
7.52,113.9,1
4.92,97.2,0
6.44,92.2,0
7.61,115.7,1
6.58,89.4,0
8.27,78.9,1
7.59,76.7,0
6.29,109.1,0
7.03,80.8,1
6.11,126.3,0
6.82,68.8,0
6.45,125.4,1
8.17,103.2,0
9.12,98.5,1
5.57,91.8,0
5.08,106,0
6.75,99.4,1
5.48,116.5,1
7.05,101.7,0
7.75,102.3,0
8.49,94.5,1
7.2,99.1,1
6.81,104.6,1
5.02,74.3,0
7.03,79.8,1
7.07,111.1,1
7.64,102.6,0
6.29,97.2,0
6.56,100.3,1
5.52,105.2,0
4.71,91.9,1
5.89,88.3,1
5.43,102.9,0
7.34,85.3,1
6.48,106.1,0
6.46,74.5,1
6.02,115.4,1
4,107.1,0
8.51,103.8,1
6,114.7,0
6.59,125,1
5.55,115.2,0
7.97,72.4,0
7.14,80.8,1
6.17,90.6,0
6.61,100.4,0
8.68,107.8,1
6.93,89.1,1
6.82,102.8,0
6.06,88.7,0
5.11,90.8,0
6.84,78.9,0
7.33,86.2,1
8.1,79.7,0
4.75,85.4,0
5.87,115.8,1
6.42,85.8,0
7,139.5,1
6.85,107.4,0
6.88,102.8,0
7.41,87.1,1
6.1,110.5,0
7.93,91.4,0
7.43,101.8,0
6.68,138.4,1
8.6,98.6,1
8.56,117.2,1
7.93,89.5,1
4,99.5,0
8.58,126.6,1
7.79,90.6,0
9.01,127.2,1
8.24,110.6,1
8.58,91.6,1
7.88,109.5,1
8.35,114.6,0
8.99,109.3,1
7.22,76.4,0
5.43,89.1,0
6.69,96.3,0
7.39,98.9,0
7.07,109.3,0
5.75,102.7,1
5.37,80,0
6.26,105.7,1
7.81,109.2,1
8.58,108.4,1
7.92,116.2,1
8.06,112.5,1
6.92,106.9,0
5.26,98.9,0
6.54,75.1,0
6.74,106.4,0
6.5,103.1,0
7.05,104.1,0
7.44,80.8,0
7.85,83.8,1
6.72,115.8,0
5.1,99.4,0
6.52,110.2,1
7.04,100.4,1
8.22,100.4,0
6.43,114.1,1
7.51,92.3,1
7.29,101.4,1
7.04,93.1,0
7.93,93.5,0
6.34,95.4,1
6.42,103.3,1
6.99,92.8,0
6.36,118.8,1
7.51,86.6,1
6.29,97.2,0
7.23,93.4,0
6.9,121.7,0
7.21,102.9,1
6.54,115.5,1
6.66,77.7,1
7.1,104,1
7.2,113.3,1
7,101.2,1
8.71,116,1
6.01,92.2,1
6.94,121.1,1
5.43,134.5,1
7.37,94.6,1
5.88,93.3,0
6.72,121.8,1
6.63,123.7,1
7.28,92.2,0
6.45,93.7,0
6.4,95.8,0
8.44,79.8,1
7.28,86.2,0
6.44,84.9,0
6.75,88.5,1
8.65,99.5,1
6.76,103.5,1
6.31,123.3,1
6.32,85,0
6.45,114.8,1
6.41,96.8,1
5.72,99.3,0
5.88,110.1,1
6.17,83.2,0
7.59,105.7,1
6.62,102.5,1
6.79,107.4,0
8.27,104.3,1
8.3,136.8,1
6.72,90.4,0
6.37,92,1
6.14,90.7,0
7.69,91.7,1
6.8,90.4,1
6.61,117.8,1
6.19,121.3,1
6.23,91.4,1
7.32,87.5,0
5.68,107.1,0
7.99,91.7,0
6.47,109.5,1
6.85,103,0
5.66,77.3,0
6.99,123.2,0
6.67,126.9,1
6.95,90.8,0
8.47,94.2,1
7.18,104.3,1
6.21,105,1
6.29,109.9,0
7.6,130.2,1
8.3,97.3,1
7.28,88,0
7.69,79.3,1
7.61,89,0
8.42,99.5,1
5.05,126.9,1
7.67,92.2,1
7.98,103.4,1
5.66,99.8,0
6.11,117.8,0
6.15,137.9,1
6.27,92,1
6.52,92.7,1
7.24,115.7,1
7.87,110.2,1
8.08,127.7,1
6.16,108.8,0
6.16,94.6,0
8.32,108.9,1
7.65,116.6,1
7.08,112.3,0
7.47,107.6,1
6.97,116,1
7.52,117.5,1
6.66,120.7,1
7.27,109.7,0
5.49,97.5,0
6.31,102.2,0
6.32,118.1,1
6.63,87.7,0
6.07,105.5,1
6.47,94.1,0
5.49,100.4,0
7.55,119.2,1
6.92,102.9,1
5.29,100.7,0
6.17,79.6,1
7.34,111.2,1
6.46,109.7,1
6.3,132.4,1
6.93,95.4,1
7.34,103.3,1
5.56,103.7,0
7.55,123.7,1
6.2,98.6,0
6.98,104.2,0
6.96,109.1,1
6.47,102.8,0
5.98,93.3,0
6.71,102.9,1
8.63,116.1,1
5.64,84.6,1
8.69,102,0
6.74,89.5,0
7.04,117.9,1
5.91,77.2,0
6.23,91.6,0
6.5,105.7,0
5.95,123.5,1
6.79,99,1
6.59,91.7,1
8.85,128.2,1
5.83,78.3,0
7.1,67,1
7.25,106.6,1
5.93,92.5,0
7.69,84.7,0
6.6,110.6,1
4.51,103.7,0
7.66,91.5,1
5.88,80.8,0
5.95,113.1,1
7.69,109.8,1
6.65,98.5,0
7.92,127.7,1
8.21,83.9,1
6.36,77.1,0
7.79,89.6,0
6.24,99.3,0
9.23,103.7,1
6.31,96.4,1
8.03,105.3,1
7.84,81.2,0
7.32,121.7,1
6.33,98.8,1
6.85,116.8,1
4.85,105.1,0
7.22,106.9,0
7.35,108.5,1
7.13,106.7,1
4.03,109.6,1
5.73,119.9,0
6.25,102.9,0
7.29,110.6,1
7.29,98.7,1
6.83,121.6,0
7.64,89.9,0
5.97,127,1
7.61,99.4,1
7.47,78.5,0
7.38,101.9,0
6.82,89.8,0
8.83,112.6,1
7.49,90.2,0
6.03,93.3,1
7.25,71.7,1
7.75,93.2,1
6.41,63.6,0
8.09,76.2,1
7.38,111.4,1
4.66,111.8,0
7.3,106.4,1
6.59,85.5,1
7.54,99.3,0
7.94,99.9,1
7.2,82.6,1
8.67,122.6,1
6.82,113.2,1
7.62,96.7,0
7.8,100.4,1
6.9,103.1,0
7.78,69.4,0
6.41,96.3,1
6.58,89.8,1
5.69,85,0
7.24,95.8,1
7.33,127,1
8.18,109.6,1
7.79,91.4,1
6.72,108.6,0
5.82,121,1
7.43,113.9,1
8.11,100.9,1
7.76,90.3,1
8.08,110.5,1
6.79,105.9,1
6.53,113.4,1
6.26,109.5,0
6.94,115.7,1
6.92,92,0
7.21,119.8,1
6.87,103,0
6.87,131.1,1
6.22,89.7,0
7.94,126,1
7.08,103,0
6.83,90.2,1
6.25,92.7,0
5.67,95.2,0
8.31,106.4,1
7.55,107.8,0
5.38,91.4,0
7.76,99.6,1
7.92,132.1,1
7.12,125.9,1
8.6,106.5,1
7.22,100.6,1
5.58,101.8,0
7.37,109.2,1
7.24,84.7,1
6.4,96.1,0
7.57,75,0
5.33,106,0
7.99,109.7,0
6.12,92.8,1
6.02,123.6,1
6.89,81.6,0
7.43,78,0
7.16,103.4,1
6.26,115.7,1
6.49,125.3,1
5.87,93.1,0
6.78,116.2,1
8.08,99.4,1
7,97.4,0
7.86,113.3,1
8.46,109.8,1
6.41,76.4,0
6.81,122.1,0
9.17,120.7,1
8.44,90.6,1
5.33,105.9,0
7.39,107.4,1
7,103.9,1
7.83,91.7,1
6.26,89.9,1
6.16,99.6,1
6.32,117.6,0
6.43,108.2,0
7.82,94.4,0
5.82,111.6,1
6.38,60,0
5.21,117.2,0
8.01,73.9,1
8.27,94.6,1
6.67,83.2,1
6.7,80.6,1
7.45,117.4,1
8.47,93,1
7.41,105.2,1
6.3,99.3,0
5.38,107.2,0
5.88,101.2,1
7.07,80.8,1
6.34,114.9,1
7.19,92.6,1
6.45,76.7,0
5.94,93.6,1
5.82,122.5,1
8.56,112.8,1
7.89,94.8,1
8.73,94.8,0
7.54,95.2,1
6.57,131.2,1
8.32,105.7,1
6.97,106.5,1
7.22,115.5,1
6.96,103.6,0
4.05,96.1,0
8.6,97.1,1
7.49,98.9,0
7.33,99.4,1
6.94,110.9,1
7.16,100.8,1
6.4,111,1
7.62,98.8,1
5.69,101.2,0
7.19,70,0
7.56,113.7,1
6.8,105.2,1
7.37,115,1
6.01,60,0
6.03,131.3,0
7.24,97.9,0
7.68,116.6,1
5.13,84.4,1
7.52,109.2,1
6.46,84.2,0
6.81,90.6,1
5.66,128.7,1
6.15,97.1,0
7.97,103.3,1
7.03,113.1,1
6.62,107.4,1
6.88,102.3,1
7.49,105.5,0
7.44,136.1,1
6.92,99.1,1
8.09,103,1
7.97,115.8,1
7.41,116.6,1
7.05,117.8,0
7.66,109.6,1
7.31,82.9,0
8.06,124.5,1
7.9,82.8,1
5.98,104.5,1
5.91,88.7,0
6.3,99,0
7.98,104.9,1
5.42,104.8,1
7.39,106.3,1
7.36,124.2,1
8.16,106.8,1
7.18,96.3,1
5.66,114.5,0
6.04,117.8,1
5.82,81.6,0
6.46,109,1
6.82,110.5,0
5.83,95.5,0
8.47,120.6,1
5.67,97.7,1
8.35,101.9,1
8.19,97.4,1
7.9,100.2,1
6.31,83.6,0
7.34,78.4,0
5.72,123.9,1
7.91,87.3,0
6.93,85.1,0
6.59,67.7,1
5.78,90.4,1
4.52,80.2,0
5.96,124.6,0
8.11,115.1,1
6.6,89.7,1
6.83,133.8,1
7.66,114.7,1
8.81,95.1,1
8.33,62.5,0
6.03,134.4,1
5.06,79.2,0
9.36,75.3,1
9.27,115.3,1
7.19,136.6,0
5.73,120.8,1
7.96,108.5,1
6.89,108.9,1
6.89,112.8,1
7.89,111.4,1
7.33,104.2,0
5.81,101.6,0
6.68,99.1,1
7.66,88.7,0
7.51,95.8,1
7.26,74.6,1
7.93,98.5,1
6.64,85.2,0
7.18,83.4,0
4,102.7,0
6.55,120.9,1
7.76,113.8,1
6.61,76.4,0
6.53,85.2,0
5.96,114.1,1
8,85.3,1
7.55,96.6,1
7.83,108.3,1
5.27,85.5,0
6.84,101.6,1
6.72,80,0
6.72,91,0
6.38,104.8,0
6.65,76.1,1
7.85,106.6,1
5.09,99.7,0
8.78,108.3,1
7.48,103.4,1
6.96,120.5,1
7.91,101.9,1
5.55,93.6,0
6.34,101.8,0
6.88,108.1,1
8.37,100.7,1
6.95,100.6,1
7.45,89.5,1
6.41,90.1,0
7.49,79,0
8.68,126.2,1
8,81.3,0
6.92,89.6,0
7.68,89.2,1
7.58,113.4,1
7.51,95.6,1
8.11,118.7,1
8.1,89.9,1
6.87,104.2,1
7.64,87.5,1
6.62,132.2,1
6.08,82.2,1
6.73,104.6,1
6.92,109.5,1
5.34,106.2,0
7.86,97.2,0
4.23,98.1,0
9.71,100.7,1
8.5,97.8,1
6.74,114.5,1
7.01,133.2,1
7.3,91.6,1
6.41,79.5,0
7.19,98.7,1
6.86,138.7,1
6.91,87.9,1
7.18,124.6,1
5.69,125.2,1
7.04,91.7,1
7.16,108.5,1
7.13,124.4,1
6.78,94.3,0
8.14,96.9,0
6.65,91.3,0
7.23,84.8,0
8.3,90.3,1
6.92,81.6,0
7.21,100.5,1
6.9,88.5,1
8.24,103.5,1
6.74,76.7,1
8.28,105,1
6.9,112.5,1
6.14,70.1,0
7.68,105.6,0
6.7,118.4,0
7.62,81.9,0
4.27,125.1,0
7.01,106.3,1
6.54,89.4,0
5.94,99.2,0
6.45,108.4,1
6.43,101.1,1
6.95,108.1,1
5.63,86.2,0
7.32,102.5,0
8.37,78.8,0
7.28,98.3,1
7.81,86.4,1
8.09,89,1
8.24,118.5,1
8.87,116.4,1
6.5,109.1,0
6.28,83.6,1
7.78,95.3,1
7.71,118.2,0
7.78,102.1,0
8.89,134.8,1
7.01,105.9,1
7.43,102.9,1
6.02,95.4,1
9.14,102,1
6.66,97.7,0
6.69,110.6,0
6.65,114.4,1
6.36,88.2,0
6.27,80,0
6.48,72.5,1
5.63,107.6,0
6.21,83.4,0
8.95,67.7,1
7.74,105.8,0
7.93,137.4,1
8.18,99.9,1
8.83,112.6,1
5.23,101.2,0
5.77,98.5,0
6.2,113.8,0
6.53,95.6,0
6.7,104,1
6.55,104.8,1
7.22,90,1
7.04,114.9,1
6.28,97.4,1
4.82,88.7,0
6.01,108,1
6.45,86.5,0
6.75,100.4,1
5.87,99.9,0
6.51,116.3,1
5.87,107.1,0
6.87,99.6,0
5.93,112.3,1
6.15,120.9,0
5.69,108.4,0
6.85,100.2,1
6.13,80.3,0
7.91,84,0
7.41,95.4,0
6.93,90.9,0
6.2,97.2,1
7.38,100.8,0
7.69,107.9,0
7.14,98.9,0
8.6,107.3,1
7.46,101,1
7.91,70.4,0
7.13,85.9,0
7.68,97.8,0
6.2,81.9,0
6.54,109,1
7.35,123,1
7.34,118.3,1
7.51,96.8,1
8.1,122.4,1
5.58,102.2,0
6.03,94.9,0
7.23,90.8,1
6.28,95.5,1
10,94.2,1
7.52,102.6,1
6.92,102.4,0
6.48,100,0
6.52,106.6,1
7.03,117.9,1
7.11,114.2,1
6.54,77.7,0
6.73,61.7,0
8.34,114,1
8.38,79.5,1
7.25,96.6,0
5.66,82.4,0
7.54,73,0
8.55,108.1,1
8.37,111.4,0
7.73,91.4,1
8.42,61.1,1
7.05,91.8,1
7.63,105.9,1
6.32,77.8,0
7.29,102.8,0
8.33,99.8,0
6.41,108.7,0
6.14,101.8,0
7.1,85.4,1
6.77,117.9,1
7.65,97.6,1
6.55,99.6,1
8.72,86,1
5.71,93.4,0
8.25,86.7,1
6.24,97.4,1
5.2,125.7,1
7.24,79.4,1
6.75,75.8,0
5.89,122.1,0
5.32,96.9,0
6.99,90,0
7.98,115.6,1
7.58,90.9,1
7.06,127.4,1
7.48,110.2,1
6.97,92.7,0
5.57,132.4,1
5.58,90.9,0
6.8,111.1,1
6.84,104.5,0
7.85,119.5,1
7.76,123.4,1
7.61,100.5,1
6.72,88.7,0
5.62,106.9,0
7.41,89.8,1
7.53,130.2,1
4.61,102,0
6.17,94.5,0
6.31,102.8,0
7.12,79.8,0
6.2,85.4,1
6.96,118,1
6.79,90.1,1
6.84,84.3,1
6.28,108,0
6.36,117.8,1
5.92,110.8,0
7.38,114.9,1
7.57,88.6,1
6.23,78.7,0
8.52,122.5,1
6.69,95.2,1
8.53,96.2,1
6.36,119.9,1
4.97,108.3,0
7.4,106.8,1
7.25,132.5,1
7.03,90.3,0
6.36,113.9,1
6.97,100.9,1
6.49,104,1
6.7,122.9,1
7.84,107.6,0
7.18,108.1,1
7.61,116.1,1
6.77,94.5,1
6.66,87.4,1
5.85,84.3,0
6.63,70.5,0
4,130.8,0
